year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,1.21,0.91,0.00,0.37,0.26,0.64,-8.50,3.40,-5.99,5.13,-2.83,-1.69,208.92,232.99
1993,0.90,0.49,0.00,0.42,0.40,0.27,-12.06,5.58,-9.25,5.06,-4.27,-2.20,145.06,226.27
1994,0.69,0.77,0.00,0.51,0.34,0.23,-12.34,6.82,-7.06,7.10,-2.75,-1.60,163.77,234.93
1995,1.02,0.67,0.00,0.52,0.47,0.22,-12.14,6.70,-7.54,6.70,-3.57,-1.92,161.37,221.15
1996,0.42,0.83,0.00,0.10,0.33,0.29,-15.41,4.47,-6.65,4.78,-3.05,-2.03,163.84,282.76
1997,1.05,0.80,0.00,0.34,0.28,0.24,-14.00,6.12,-7.05,6.25,-2.84,-1.60,143.98,299.67
1998,0.97,0.76,0.00,0.27,0.23,0.23,-11.75,6.31,-4.78,5.97,-1.82,-0.98,146.44,224.76
1999,0.81,0.71,0.00,0.24,0.23,0.18,-13.95,4.48,-5.94,4.11,-2.19,-1.34,147.26,251.65
2000,0.89,0.74,0.00,0.41,0.34,0.26,-11.93,4.50,-6.85,4.58,-2.81,-1.70,147.52,280.70
2001,1.06,0.85,0.00,0.14,0.11,0.14,-11.42,5.33,-6.78,5.63,-2.84,-1.60,149.73,265.14
2002,1.01,0.76,0.00,0.44,0.37,0.03,-13.30,5.27,-7.27,5.31,-2.86,-1.58,136.31,298.30
2003,1.07,0.68,0.00,0.52,0.42,0.15,-11.18,5.07,-4.94,5.96,-2.01,-1.23,162.05,258.91
2004,1.14,0.72,0.00,0.62,0.52,0.17,-11.87,5.84,-8.39,6.72,-3.89,-1.86,171.87,203.35
2005,1.33,0.98,0.00,0.19,0.14,0.09,-11.25,5.98,-3.49,6.86,-1.52,-0.96,226.58,198.48
2006,1.08,2.09,0.00,0.30,0.26,0.16,-11.83,6.02,-7.07,6.87,-2.96,-1.59,150.69,177.95
2007,1.02,0.76,0.00,0.46,0.29,0.13,-14.16,5.92,-6.92,6.23,-2.33,-1.55,138.84,183.21
2008,1.15,0.87,0.00,0.45,0.36,0.22,-13.25,5.34,-6.99,6.10,-3.08,-1.56,122.06,224.87
2009,1.01,0.65,0.00,0.73,0.53,0.34,-14.50,6.26,-10.27,6.52,-3.27,-1.64,125.54,194.42
2010,1.10,0.73,0.00,0.67,0.47,0.33,-10.82,6.47,-7.05,7.23,-3.01,-1.35,95.17,186.17
2011,0.74,0.65,0.00,0.06,0.06,0.07,-13.85,5.97,-3.83,5.05,-1.38,-1.19,149.01,229.28
2012,1.02,0.78,0.00,0.49,0.70,0.28,-12.23,5.59,-6.85,5.78,-2.80,-1.42,170.87,218.64
2013,1.07,0.74,0.00,1.90,1.56,0.34,-14.47,5.74,-8.85,6.06,-1.76,-0.92,139.47,250.89
2014,0.92,0.62,0.00,0.41,0.40,0.42,-13.36,6.12,-9.47,5.95,-4.39,-2.19,186.05,277.70
