year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,1.21,0.91,0,0.37,0.26,0.64,6.91,3.4,4.28,5.13,1.56,0.51,208.92,232.99
1993,0.9,0.49,0,0.42,0.4,0.27,3.35,5.58,1.02,5.06,0.12,0,145.06,226.27
1994,0.69,0.77,0,0.51,0.34,0.23,3.07,6.82,3.21,7.1,1.64,0.6,163.77,234.93
1995,1.02,0.67,0,0.52,0.47,0.22,3.27,6.7,2.73,6.7,0.82,0.28,161.37,221.15
1996,0.42,0.83,0,0.1,0.33,0.29,0,4.47,3.62,4.78,1.34,0.17,163.84,282.76
1997,1.05,0.8,0,0.34,0.28,0.24,1.41,6.12,3.22,6.25,1.55,0.6,143.98,299.67
1998,0.97,0.76,0,0.27,0.23,0.23,3.66,6.31,5.49,5.97,2.57,1.22,146.44,224.76
1999,0.81,0.71,0,0.24,0.23,0.18,1.46,4.48,4.33,4.11,2.2,0.86,147.26,251.65
2000,0.89,0.74,0,0.41,0.34,0.26,3.48,4.5,3.42,4.58,1.58,0.5,147.52,280.7
2001,1.06,0.85,0,0.14,0.11,0.14,3.99,5.33,3.49,5.63,1.55,0.6,149.73,265.14
2002,1.01,0.76,0,0.44,0.37,0.03,2.11,5.27,3,5.31,1.53,0.62,136.31,298.3
2003,1.07,0.68,0,0.52,0.42,0.15,4.23,5.07,5.33,5.96,2.38,0.97,162.05,258.91
2004,1.14,0.72,0,0.62,0.52,0.17,3.54,5.84,1.88,6.72,0.5,0.34,171.87,203.35
2005,1.33,0.98,0,0.19,0.14,0.09,4.16,5.98,6.78,6.86,2.87,1.24,226.58,198.48
2006,1.08,2.09,0,0.3,0.26,0.16,3.58,6.02,3.2,6.87,1.43,0.61,150.69,177.95
2007,1.02,0.76,0,0.46,0.29,0.13,1.25,5.92,3.35,6.23,2.06,0.65,138.84,183.21
2008,1.15,0.87,0,0.45,0.36,0.22,2.16,5.34,3.28,6.1,1.31,0.64,122.06,224.87
2009,1.01,0.65,0,0.73,0.53,0.34,0.91,6.26,0,6.52,1.12,0.56,125.54,194.42
2010,1.1,0.73,0,0.67,0.47,0.33,4.59,6.47,3.22,7.23,1.38,0.85,95.17,186.17
2011,0.74,0.65,0,0.06,0.06,0.07,1.56,5.97,6.44,5.05,3.01,1.01,149.01,229.28
2012,1.02,0.78,0,0.49,0.7,0.28,3.18,5.59,3.42,5.78,1.59,0.78,170.87,218.64
2013,1.07,0.74,0,1.9,1.56,0.34,0.94,5.74,1.42,6.06,2.63,1.28,139.47,250.89
2014,0.92,0.62,0,0.41,0.4,0.42,2.05,6.12,0.8,5.95,0,0.01,186.05,277.7
