"","b0","d2.airT"
"Jan",-0.622347492469319,0.965510414981197
"Feb",-0.100996149327724,0.96855447241258
"Mar",-0.698031107193173,0.974523306581613
"Apr",-0.183029466858295,0.981498667965657
"May",0.456444735375984,0.888575610218757
"Jun",1.4108403467905,0.842955333628655
"Jul",2.54195181533579,0.7599004959651
"Aug",1.56241220770525,0.822031784381565
"Sep",1.0270437841567,0.745129372454063
"Oct",-0.435643919102106,0.860678887799462
"Nov",-1.1403267094597,0.911242302251401
"Dec",-2.06618516887127,0.879818488293601
