"","b0","hf.airT"
"Jan",-4.77730464793425,0.664788938305541
"Feb",-4.34112750002781,0.696180979590839
"Mar",-3.73247887495542,0.747153667748284
"Apr",-1.79515663593765,0.832250380058024
"May",-1.84289344008183,0.873392611231081
"Jun",-2.25175587554455,0.967803802097312
"Jul",-1.42737672802263,0.954118052020644
"Aug",-1.8296822931368,1.02890415244007
"Sep",-1.89029204373076,0.989835948188086
"Oct",-3.12782319575523,0.776388810831767
"Nov",-5.47310843655765,0.613322709504808
"Dec",-4.65298740289957,0.664717574296477
