year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,0.82,0.87,0.00,0.77,0.45,0.28,-13.18,2.10,-10.40,1.52,-1.99,-1.06,208.92,232.99
1993,0.81,1.02,0.00,0.74,0.46,0.16,-12.95,4.48,-10.30,2.90,-1.90,-0.81,145.06,226.27
1994,0.79,0.92,0.00,0.97,0.67,0.21,-13.03,5.56,-11.12,3.76,-2.17,-0.90,163.77,234.93
1995,0.58,2.31,0.00,0.79,0.55,0.13,-12.75,5.88,-10.30,3.72,-1.81,-0.75,161.37,221.15
1996,0.72,0.95,0.00,0.76,0.77,0.20,-15.41,3.06,-11.91,2.04,-1.68,-0.96,163.84,282.76
1997,1.01,0.84,0.00,0.58,0.53,0.22,-14.35,5.17,-9.69,5.66,-2.46,-1.07,143.98,299.67
1998,1.23,1.07,0.00,0.70,0.66,0.21,-12.65,5.17,-7.67,6.01,-1.65,-0.79,146.44,224.76
1999,0.96,0.84,0.00,0.64,0.47,0.19,-12.53,4.47,-8.59,4.72,-1.62,-0.86,147.26,251.65
2000,1.32,2.13,0.00,0.58,0.48,0.17,-12.54,3.35,-8.13,3.87,-1.63,-0.89,147.52,280.70
2001,1.02,0.90,0.00,0.23,0.16,0.09,-12.50,4.44,-8.56,4.80,-1.64,-0.83,149.73,265.14
2002,0.83,0.77,0.00,0.55,0.42,0.02,-14.51,3.66,-8.67,4.37,-1.71,-0.91,136.31,298.30
2003,1.02,0.79,0.00,0.75,0.61,0.10,-12.14,3.72,-7.70,4.04,-1.37,-0.75,162.05,258.91
2004,1.08,0.79,0.00,0.90,0.55,0.08,-12.78,4.45,-10.19,5.36,-1.69,-0.89,171.87,203.35
2005,1.18,1.07,0.00,0.63,0.45,0.09,-11.93,5.17,-7.76,6.09,-1.32,-0.66,226.58,198.48
2006,1.18,0.61,0.00,0.33,0.26,0.06,-12.13,4.99,-6.75,6.02,-1.00,-0.60,150.69,177.95
2007,1.07,0.73,0.00,0.66,0.53,0.11,-14.49,4.93,-8.88,5.71,-1.76,-0.84,138.84,183.21
2008,0.62,1.04,0.00,0.42,0.40,0.09,-13.65,4.06,-6.32,5.11,-1.16,-0.69,122.06,224.87
2009,0.96,0.82,0.00,0.68,0.50,0.17,-14.53,5.37,-9.24,5.19,-1.57,-0.76,125.54,194.42
2010,0.96,0.83,0.00,0.60,0.44,0.17,-11.86,5.19,-8.28,5.10,-1.60,-0.79,95.17,186.17
2011,0.96,0.81,0.00,0.39,0.28,0.10,-14.23,4.74,-9.12,5.02,-1.60,-0.77,149.01,229.28
2012,1.00,0.78,0.00,0.30,0.26,0.08,-13.07,4.75,-4.75,5.04,-0.72,-0.42,170.87,218.64
2013,0.85,0.61,0.00,1.36,0.75,0.20,-15.48,5.92,-7.75,5.89,-1.24,-0.65,139.47,250.89
2014,0.97,0.72,0.00,0.48,0.14,0.15,-13.65,5.18,-8.52,5.31,-1.49,-0.68,186.05,277.70
