year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,0.82,0.87,0,0.77,0.45,0.28,2.3,2.1,1.51,1.52,0.47,0.01,208.92,232.99
1993,0.81,1.02,0,0.74,0.46,0.16,2.53,4.48,1.61,2.9,0.56,0.26,145.06,226.27
1994,0.79,0.92,0,0.97,0.67,0.21,2.45,5.56,0.79,3.76,0.29,0.17,163.77,234.93
1995,0.58,2.31,0,0.79,0.55,0.13,2.73,5.88,1.61,3.72,0.65,0.32,161.37,221.15
1996,0.72,0.95,0,0.76,0.77,0.2,0.07,3.06,0,2.04,0.78,0.11,163.84,282.76
1997,1.01,0.84,0,0.58,0.53,0.22,1.13,5.17,2.22,5.66,0,0,143.98,299.67
1998,1.23,1.07,0,0.7,0.66,0.21,2.83,5.17,4.24,6.01,0.81,0.28,146.44,224.76
1999,0.96,0.84,0,0.64,0.47,0.19,2.95,4.47,3.32,4.72,0.84,0.21,147.26,251.65
2000,1.32,2.13,0,0.58,0.48,0.17,2.94,3.35,3.78,3.87,0.83,0.18,147.52,280.7
2001,1.02,0.9,0,0.23,0.16,0.09,2.98,4.44,3.35,4.8,0.82,0.24,149.73,265.14
2002,0.83,0.77,0,0.55,0.42,0.02,0.97,3.66,3.24,4.37,0.75,0.16,136.31,298.3
2003,1.02,0.79,0,0.75,0.61,0.1,3.34,3.72,4.21,4.04,1.09,0.32,162.05,258.91
2004,1.08,0.79,0,0.9,0.55,0.08,2.7,4.45,1.72,5.36,0.77,0.18,171.87,203.35
2005,1.18,1.07,0,0.63,0.45,0.09,3.55,5.17,4.15,6.09,1.14,0.41,226.58,198.48
2006,1.18,0.61,0,0.33,0.26,0.06,3.35,4.99,5.16,6.02,1.46,0.47,150.69,177.95
2007,1.07,0.73,0,0.66,0.53,0.11,0.99,4.93,3.03,5.71,0.7,0.23,138.84,183.21
2008,0.62,1.04,0,0.42,0.4,0.09,1.83,4.06,5.59,5.11,1.3,0.38,122.06,224.87
2009,0.96,0.82,0,0.68,0.5,0.17,0.95,5.37,2.67,5.19,0.89,0.31,125.54,194.42
2010,0.96,0.83,0,0.6,0.44,0.17,3.62,5.19,3.63,5.1,0.86,0.28,95.17,186.17
2011,0.96,0.81,0,0.39,0.28,0.1,1.25,4.74,2.79,5.02,0.86,0.3,149.01,229.28
2012,1,0.78,0,0.3,0.26,0.08,2.41,4.75,7.16,5.04,1.74,0.65,170.87,218.64
2013,0.85,0.61,0,1.36,0.75,0.2,0,5.92,4.16,5.89,1.22,0.42,139.47,250.89
2014,0.97,0.72,0,0.48,0.14,0.15,1.83,5.18,3.39,5.31,0.97,0.39,186.05,277.7
