"","b0","gf.surfT","hf.neg150"
"Jan",-0.639250537601466,0.0541233492757613,0.130350881462993
"Feb",-0.695444275592051,0.0929322143701085,0.154306969430217
"Mar",-0.572397001451287,0.0776150114415741,0.317489099082767
"Apr",-0.752647780113912,0.0831429408764257,0.294556579135758
"May",-0.910437923108372,0.0367022007895261,0.301997889455438
"Jun",-0.311903478317178,0.0108262804989492,0.590686045549888
"Jul",-0.472632673900161,0.0197419363465719,0.487389733756662
"Aug",-0.285104169545147,0.00829136115898343,0.534927328817067
"Sep",-0.405295586186388,0.0198214497284784,0.304625686292578
"Oct",-0.713218388412822,0.0271341088198354,-0.294121981715434
"Nov",-0.793817956410872,0.00584948452982218,-0.297350517471838
"Dec",-0.549240825888203,0.0218883146913162,-0.0135185183350308
