year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,1.81,1.06,0.00,0.84,0.86,0.31,-8.00,4.12,-6.24,7.73,-2.25,-1.13,208.92,232.99
1993,0.41,0.64,0.00,0.42,0.35,0.30,-14.24,6.46,-7.39,9.13,-2.76,-1.13,145.06,226.27
1994,1.26,1.19,0.00,1.16,0.98,0.21,-13.52,7.57,-7.91,9.05,-2.66,-1.05,163.77,234.93
1995,1.47,1.27,0.00,0.47,0.42,0.14,-13.59,7.80,-6.54,9.10,-2.14,-0.98,161.37,221.15
1996,0.64,0.66,0.00,1.05,0.96,0.32,-16.81,5.28,-7.21,6.99,-2.36,-1.39,163.84,282.76
1997,1.07,0.90,0.00,0.37,0.31,0.20,-15.45,7.33,-7.38,7.44,-2.54,-1.10,143.98,299.67
1998,1.12,0.95,0.00,0.45,0.38,0.17,-12.38,7.34,-5.53,8.05,-1.73,-0.80,146.44,224.76
1999,1.22,1.19,0.00,0.40,0.37,0.16,-14.82,6.53,-6.45,7.63,-2.10,-1.06,147.26,251.65
2000,0.50,0.44,0.00,0.30,0.24,0.15,-12.73,5.55,-5.46,6.63,-1.38,-0.85,147.52,280.70
2001,1.17,1.15,0.00,1.45,1.22,0.24,-12.45,6.43,-6.87,7.22,-1.49,-0.91,149.73,265.14
2002,0.95,0.90,0.00,0.55,0.50,0.16,-15.22,5.85,-6.52,7.08,-1.78,-1.11,136.31,298.30
2003,1.50,1.24,0.00,0.65,0.62,0.19,-12.18,5.89,-4.52,7.43,-1.51,-0.90,162.05,258.91
2004,1.02,1.01,0.00,0.70,0.64,0.14,-13.24,6.35,-6.26,7.87,-1.85,-1.07,171.87,203.35
2005,1.41,1.05,0.00,0.33,0.32,0.14,-12.32,6.84,-3.74,7.03,-1.28,-0.70,226.58,198.48
2006,1.18,0.74,0.00,0.73,0.67,0.12,-12.85,6.44,-5.98,7.42,-1.32,-0.84,150.69,177.95
2007,1.28,1.01,0.00,0.51,0.46,0.14,-15.06,6.96,-6.17,8.40,-2.10,-0.78,138.84,183.21
2008,0.53,0.78,0.00,0.40,0.36,0.13,-15.43,5.47,-6.28,6.62,-1.92,-0.91,122.06,224.87
2009,1.13,0.85,0.00,0.44,0.37,0.23,-15.96,7.17,-7.50,7.93,-2.37,-1.06,125.54,194.42
2010,1.14,0.89,0.00,0.41,0.82,0.21,-11.81,7.28,-5.70,8.14,-1.62,-0.68,95.17,186.17
2011,1.00,1.03,0.00,0.34,0.25,0.06,-15.10,6.91,-5.79,6.84,-1.15,-0.66,149.01,229.28
2012,1.01,1.06,0.00,0.39,0.34,0.14,-13.23,7.11,-6.00,6.93,-1.50,-0.71,170.87,218.64
2013,0.96,1.05,0.00,0.90,0.59,0.46,-16.60,7.87,-10.50,7.43,-4.42,-0.98,139.47,250.89
2014,1.03,0.56,0.00,0.86,0.72,0.18,-14.25,7.35,-5.41,7.63,-1.82,-0.95,186.05,277.70
