year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,1.81,1.06,0,0.84,0.86,0.31,8.81,4.12,4.26,7.73,2.17,0.26,208.92,232.99
1993,0.41,0.64,0,0.42,0.35,0.3,2.57,6.46,3.11,9.13,1.66,0.26,145.06,226.27
1994,1.26,1.19,0,1.16,0.98,0.21,3.29,7.57,2.59,9.05,1.76,0.34,163.77,234.93
1995,1.47,1.27,0,0.47,0.42,0.14,3.22,7.8,3.96,9.1,2.28,0.41,161.37,221.15
1996,0.64,0.66,0,1.05,0.96,0.32,0,5.28,3.29,6.99,2.06,0,163.84,282.76
1997,1.07,0.9,0,0.37,0.31,0.2,1.36,7.33,3.12,7.44,1.88,0.29,143.98,299.67
1998,1.12,0.95,0,0.45,0.38,0.17,4.43,7.34,4.97,8.05,2.69,0.59,146.44,224.76
1999,1.22,1.19,0,0.4,0.37,0.16,1.99,6.53,4.05,7.63,2.32,0.33,147.26,251.65
2000,0.5,0.44,0,0.3,0.24,0.15,4.08,5.55,5.04,6.63,3.04,0.54,147.52,280.7
2001,1.17,1.15,0,1.45,1.22,0.24,4.36,6.43,3.63,7.22,2.93,0.48,149.73,265.14
2002,0.95,0.9,0,0.55,0.5,0.16,1.59,5.85,3.98,7.08,2.64,0.28,136.31,298.3
2003,1.5,1.24,0,0.65,0.62,0.19,4.63,5.89,5.98,7.43,2.91,0.49,162.05,258.91
2004,1.02,1.01,0,0.7,0.64,0.14,3.57,6.35,4.24,7.87,2.57,0.32,171.87,203.35
2005,1.41,1.05,0,0.33,0.32,0.14,4.49,6.84,6.76,7.03,3.14,0.69,226.58,198.48
2006,1.18,0.74,0,0.73,0.67,0.12,3.96,6.44,4.52,7.42,3.1,0.55,150.69,177.95
2007,1.28,1.01,0,0.51,0.46,0.14,1.75,6.96,4.33,8.4,2.32,0.61,138.84,183.21
2008,0.53,0.78,0,0.4,0.36,0.13,1.38,5.47,4.22,6.62,2.5,0.48,122.06,224.87
2009,1.13,0.85,0,0.44,0.37,0.23,0.85,7.17,3,7.93,2.05,0.33,125.54,194.42
2010,1.14,0.89,0,0.41,0.82,0.21,5,7.28,4.8,8.14,2.8,0.71,95.17,186.17
2011,1,1.03,0,0.34,0.25,0.06,1.71,6.91,4.71,6.84,3.27,0.73,149.01,229.28
2012,1.01,1.06,0,0.39,0.34,0.14,3.58,7.11,4.5,6.93,2.92,0.68,170.87,218.64
2013,0.96,1.05,0,0.9,0.59,0.46,0.21,7.87,0,7.43,0,0.41,139.47,250.89
2014,1.03,0.56,0,0.86,0.72,0.18,2.56,7.35,5.09,7.63,2.6,0.44,186.05,277.7
