day,lapse,HF,GF
1,0.806492325,-23.20047472,-20.28903743
2,0.916795218,-23.51798632,-20.20835558
3,1.018545536,-25.47880898,-21.80185959
4,1.107226848,-23.76264037,-19.76555145
5,0.928442093,-22.6269459,-19.27526995
6,0.795192217,-21.96067926,-19.09003536
7,0.511749721,-21.36147282,-19.51405632
8,0.503055367,-21.95461402,-20.13858415
9,1.1504073,-24.98160456,-20.82863421
10,1.033682415,-25.30324952,-21.571656
11,0.87504517,-23.42692672,-20.26801366
12,0.948618714,-23.23216736,-19.8076538
13,1.014919737,-22.78562352,-19.12176327
14,0.714479593,-20.78962352,-18.21035219
15,0.349178026,-19.61472776,-18.35419509
16,0.649049508,-20.95710672,-18.61403799
17,0.795093851,-20.70506728,-17.83477848
18,0.381693278,-17.62036904,-16.24245631
19,0.488838936,-19.46868264,-17.70397408
20,0.565791166,-20.67595216,-18.63344605
21,0.691644928,-21.09781472,-18.60097653
22,0.597784565,-20.974534,-18.81653172
23,0.555412977,-20.58204128,-18.57700043
24,0.429801577,-21.2491704,-19.69758671
25,0.455555775,-22.48615296,-20.84159661
26,0.57066537,-23.43373704,-21.37363505
27,0.543140291,-24.74996928,-22.78923283
28,0.822802238,-24.46842272,-21.49810664
29,0.672062367,-21.59984536,-19.17370021
30,0.646930429,-20.66653528,-18.33111643
31,0.798112748,-20.027042,-17.14585498
32,0.441755219,-18.09753048,-16.50279414
33,0.579088653,-18.73452416,-16.64401412
34,0.660358677,-20.21256976,-17.82867494
35,0.436798287,-19.50242856,-17.92558674
36,0.918690005,-21.10643552,-17.7899646
37,0.834395009,-19.74036608,-16.7282001
38,0.344269369,-18.3030012,-17.06018878
39,0.319578883,-19.61242448,-18.45874471
40,0.496342014,-20.83452568,-19.04273101
41,0.606692776,-20.4067116,-18.21655068
42,0.665451512,-19.2507548,-16.84847484
43,0.360000374,-17.30450816,-16.00490681
44,0.280527555,-18.54373736,-17.53103289
45,0.316252194,-18.375904,-17.23423358
46,0.196320989,-17.68206432,-16.97334555
47,0.286800125,-19.39862936,-18.36328091
48,0.174128763,-19.42380912,-18.79520429
49,0.28353607,-20.44001376,-19.41644855
50,0.212826226,-20.09777131,-19.32946864
51,0.068588727,-19.42687311,-19.17926781
52,0.436945792,-20.70740248,-19.13002817
53,0.603083447,-20.33080184,-18.1536706
54,0.7779854,-21.36598016,-18.55745287
55,0.609299683,-20.83457192,-18.63500006
56,0.614657686,-20.26242608,-18.04351183
57,0.484946424,-19.12807024,-17.37741365
58,0.243565991,-17.59470808,-16.71543485
59,0.293286454,-19.17647088,-18.11770678
60,0.191964939,-18.38397696,-17.69098353
61,0.160502504,-19.0101096,-18.43069556
62,0.365392694,-20.88997056,-19.57090294
63,0.343945558,-20.46121392,-19.21957046
64,0.269858472,-21.61009792,-20.63590884
65,0.414279645,-20.7781404,-19.28259088
66,0.481679375,-19.84745971,-18.10859717
67,0.611787172,-19.46217336,-17.25362167
68,0.344862387,-18.83529391,-17.59034069
69,0.220141122,-19.02314064,-18.22843119
70,-0.010445756,-18.34717063,-18.38487981
71,0.042742548,-19.17232796,-19.01802736
