year,site,elev,lat,lon,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU,late.tdd,total.tdd,late.fdd,total.fdd
1992,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,55.8,1.35,1.14,0.8,0,0.56,0.53,0.48,0.06,-98.82,-7.93,4.03,-4.89,6.16,-1.03,-0.68,208.92,232.99,1029.26,1035.58,-1247.17,-1293.22
1993,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,49.6,1.42,1.19,0.99,0,0.65,0.58,0.51,0.14,-207.79,-13.49,6.3,-6.44,7.74,-1.37,-0.68,145.06,226.27,1175.89,1234.22,-1755.00,-1796.55
1994,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,55.4,1.21,1.06,0.88,0,0.56,0.9,0.8,0.15,-211.9,-13.36,7.26,-6.79,8.54,-1.64,-0.64,163.77,234.93,1290.82,1341.51,-1840.31,-1875.25
1995,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,53,1.35,1.1,0.77,0,0.43,0.36,0.31,0.07,-178.76,-13.47,7.37,-5.69,8.44,-0.88,-0.63,161.37,221.15,1185.74,1308.28,-1626.07,-1628.97
1996,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,48,0.59,0.44,0.39,0.02,0.38,0.34,0.28,0.11,-136.22,-16.79,4.46,-7.25,5.95,-1.24,-1.41,163.84,282.76,945.31,1000.73,-1864.19,-1947.02
1997,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,54.6,1.23,1.11,1,0,0.39,0.38,0.3,0.09,-181.94,-15.17,6.72,-6.74,7.67,-1.15,-1.06,143.98,299.67,1081.14,1188.99,-1791.50,-1825.81
1998,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,57.6,1.15,1.06,0.39,0,0.54,0.5,0.42,0.05,-81.27,-12.4,6.47,-6.3,7.03,-0.87,-1.03,146.44,224.76,1074.10,1102.28,-1736.83,-1766.41
1999,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,53.2,0.43,0.43,0.32,0,0.39,0.38,0.37,0.08,-145.28,-14.82,5.82,-5.39,6.53,-1.22,-1.03,147.26,251.65,965.73,1022.80,-1394.37,-1427.66
2000,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,48.6,0.46,0.62,1.35,0,0.42,0.42,0.37,0.03,-57.4,-12.34,5.08,-4.1,6.02,-0.28,-0.56,147.52,280.7,926.50,953.35,-1089.14,-1110.69
2001,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,55.2,1.23,1.74,1.39,0.01,0.94,0.94,0.83,0.11,-108.17,-11.89,6.06,-4.3,7.01,-0.93,-0.81,149.73,265.14,1026.13,1085.67,-1131.67,-1140.06
2002,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,54,1.17,1.08,0.87,0,0.31,0.32,0.48,0.08,-169.43,-14.49,5.91,-5.5,6.82,-0.89,-0.55,136.31,298.3,1030.68,1102.50,-1488.27,-1513.51
2003,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,55.4,1.22,1.4,0.8,0.01,0.61,0.59,0.57,0.09,-134.04,-12.06,5.93,-4.41,7.34,-0.85,-0.27,162.05,258.91,1107.09,1184.71,-1199.38,-1224.41
2004,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,54.2,1.19,1.24,0.86,0.04,0.51,0.48,0.4,0.1,-203.27,-13.24,6.47,-5.76,7.75,-0.94,-0.18,171.87,203.35,1254.07,1261.23,-1540.77,-1572.99
2005,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,59.2,0.62,0.63,0.65,0.01,0.28,0.27,0.23,0.07,-102.43,-12.1,7,-3.12,7.72,-0.55,0.1,226.58,198.48,1121.75,1193.43,-963.97,-968.68
2006,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,59.2,1.2,1.22,0.83,0.02,1.13,1.09,0.93,0.16,-113.4,-12.7,7.2,-4.53,7.78,-0.53,0.04,150.69,177.95,1122.89,1204.00,-1231.81,-1237.42
2007,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,60.6,1.12,1.14,0.83,0.01,0.51,0.49,0.43,0.07,-176.12,-14.93,6.91,-5.39,7.71,-1.05,-0.18,138.84,183.21,1128.09,1202.94,-1433.70,-1447.16
2008,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,53,0.51,0.47,0.97,0,0.31,0.33,0.29,0.09,-214.62,-15.07,5.52,-5.28,6.54,-1.04,-0.63,122.06,224.87,926.48,1006.87,-1431.94,-1438.47
2009,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,52.8,1.16,1.08,0.88,0,0.37,0.77,0.69,0.11,-182,-15.6,7.07,-6.01,8.13,-1,-0.56,125.54,194.42,1175.46,1261.62,-1579.36,-1592.39
2010,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,64.2,0.75,0.69,0.85,0,0.56,0.53,0.46,0.13,-175.64,-11.57,7.25,-4.7,8.24,-0.96,-0.54,95.17,186.17,1228.67,1280.59,-1338.83,-1357.99
2011,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,64.4,0.78,0.72,0.88,0,0.39,0.37,0.32,0.06,-190.59,-14.77,6.85,-5.64,7.81,-0.98,-0.5,149.01,229.28,1128.69,1198.71,-1547.79,-1555.11
2012,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,65.2,0.6,0.55,0.89,0,0.35,0.32,0.55,0.09,-159.09,-12.97,7.1,-5.2,8.03,-0.97,-0.49,170.87,218.64,1144.10,1233.12,-1407.12,-1410.19
