year,site,elev,lat,lon,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1997,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,54.6,1.23,1.11,1,0,0.39,0.38,0.3,0.09,-181.94,-15.17,6.72,-6.74,7.67,-1.15,-1.06,143.98,299.67
1997,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,50,1.05,0.93,0.8,0,0.34,0.43,0.28,0.24,-422.81,-14,6.12,-7.05,6.25,-2.84,-1.6,143.98,299.67
1997,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,82.33,0.85,0.86,0.91,0.31,0.21,0.21,0.19,0.12,-82.42,-14.17,6.46,-2.05,5.85,-0.65,-0.38,143.98,299.67
1997,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,84.5,1.01,0.94,0.84,0,0.58,0.54,0.53,0.22,-394.39,-14.35,5.17,-9.69,5.66,-2.46,-1.07,143.98,299.67
1997,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,51.5,1.07,0.86,0.9,0,0.37,0.53,0.31,0.2,-388.43,-15.45,7.33,-7.38,7.44,-2.54,-1.1,143.98,299.67
1998,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,57.6,1.15,1.06,0.39,0,0.54,0.5,0.42,0.05,-81.27,-12.4,6.47,-6.3,7.03,-0.87,-1.03,146.44,224.76
1998,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,57.75,0.97,0.86,0.76,0,0.27,0.28,0.23,0.23,-301,-11.75,6.31,-4.78,5.97,-1.82,-0.98,146.44,224.76
1998,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,89.67,0.68,0.73,0.56,0.23,0.22,0.22,0.18,0.07,10.49,-11.24,6.57,-1.51,5.04,-0.25,-0.21,146.44,224.76
1998,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,98,1.23,1.15,1.07,0,0.7,0.67,0.66,0.21,-270.05,-12.65,5.17,-7.67,6.01,-1.65,-0.79,146.44,224.76
1998,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,56.5,1.12,0.87,0.95,0,0.45,0.35,0.38,0.17,-283.58,-12.38,7.34,-5.53,8.05,-1.73,-0.8,146.44,224.76
1999,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,53.2,0.43,0.43,0.32,0,0.39,0.38,0.37,0.08,-145.28,-14.82,5.82,-5.39,6.53,-1.22,-1.03,147.26,251.65
1999,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,50.75,0.81,0.79,0.71,0,0.24,0.23,0.23,0.18,-336.35,-13.95,4.48,-5.94,4.11,-2.19,-1.34,147.26,251.65
1999,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,66.33,0.74,0.87,0.68,0.15,0.16,0.18,0.15,0.15,-153.17,-13.53,5.88,-2.42,4.82,-0.42,-0.36,147.26,251.65
1999,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,79.5,0.96,0.96,0.84,0,0.64,0.53,0.47,0.19,-271.39,-12.53,4.47,-8.59,4.72,-1.62,-0.86,147.26,251.65
1999,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,50,1.22,1.02,1.19,0,0.4,0.35,0.37,0.16,-317.92,-14.82,6.53,-6.45,7.63,-2.1,-1.06,147.26,251.65
2000,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,48.6,0.46,0.62,1.35,0,0.42,0.42,0.37,0.03,-57.4,-12.34,5.08,-4.1,6.02,-0.28,-0.56,147.52,280.7
2000,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,53.75,0.89,0.85,0.74,0,0.41,0.37,0.34,0.26,-446.42,-11.93,4.5,-6.85,4.58,-2.81,-1.7,147.52,280.7
2000,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,77.67,0.75,0.97,0.73,0.22,0.21,0.23,0.2,0.12,-97.41,-11.26,4.93,-2,4.5,-0.3,-0.32,147.52,280.7
2000,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,82.5,1.32,2.3,2.13,0,0.58,0.53,0.48,0.17,-284.75,-12.54,3.35,-8.13,3.87,-1.63,-0.89,147.52,280.7
2000,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,58,0.5,0.84,0.44,0,0.3,0.2,0.24,0.15,-262.51,-12.73,5.55,-5.46,6.63,-1.38,-0.85,147.52,280.7
2001,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,55.2,1.23,1.74,1.39,0.01,0.94,0.94,0.83,0.11,-108.17,-11.89,6.06,-4.3,7.01,-0.93,-0.81,149.73,265.14
2001,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,53.25,1.06,0.96,0.85,0,0.14,0.12,0.11,0.14,-369.43,-11.42,5.33,-6.78,5.63,-2.84,-1.6,149.73,265.14
2001,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,85.33,0.82,0.98,0.76,0.27,0.1,0.11,0.09,0.06,-6.81,-10.82,5.8,-2.22,4.85,-0.43,-0.37,149.73,265.14
2001,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,96,1.02,1.05,0.9,0,0.23,0.19,0.16,0.09,-241.42,-12.5,4.44,-8.56,4.8,-1.64,-0.83,149.73,265.14
2001,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,63,1.17,0.94,1.15,0,1.45,1.08,1.22,0.24,-245.25,-12.45,6.43,-6.87,7.22,-1.49,-0.91,149.73,265.14
2002,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,54,1.17,1.08,0.87,0,0.31,0.32,0.48,0.08,-169.43,-14.49,5.91,-5.5,6.82,-0.89,-0.55,136.31,298.3
2002,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,56.25,1.01,0.9,0.76,0,0.44,0.4,0.37,0.03,-51.01,-13.3,5.27,-7.27,5.31,-2.86,-1.58,136.31,298.3
2002,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,70,0.85,0.81,0.61,0.28,0.32,0.37,0.32,0.19,-200.05,-13.82,5.3,-3.26,5.27,-0.6,-0.49,136.31,298.3
2002,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,81.5,0.83,0.94,0.77,0,0.55,0.49,0.42,0.02,-38.27,-14.51,3.66,-8.67,4.37,-1.71,-0.91,136.31,298.3
2002,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,54,0.95,0.9,0.9,0,0.55,0.5,0.5,0.16,-332.19,-15.22,5.85,-6.52,7.08,-1.78,-1.11,136.31,298.3
2003,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,55.4,1.22,1.4,0.8,0.01,0.61,0.59,0.57,0.09,-134.04,-12.06,5.93,-4.41,7.34,-0.85,-0.27,162.05,258.91
2003,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,58,1.07,0.82,0.68,0,0.52,0.43,0.42,0.15,-283.24,-11.18,5.07,-4.94,5.96,-2.01,-1.23,162.05,258.91
2003,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,86,0.98,1.31,1.01,0.11,0.23,0.25,0.22,0.11,-97.17,-10.99,5.3,-1.8,6.08,-0.29,-0.27,162.05,258.91
2003,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,85.5,1.02,1.22,0.79,0,0.75,0.66,0.61,0.1,-211.54,-12.14,3.72,-7.7,4.04,-1.37,-0.75,162.05,258.91
2003,HF,1260,63.314262,-129.790731,4.9,1,2.48,0.5,4.78,60.5,1.5,1.43,1.24,0,0.65,0.62,0.62,0.19,-285.81,-12.18,5.89,-4.52,7.43,-1.51,-0.9,162.05,258.91
2004,BP,1272,63.292027,-129.839117,4,1,3.02,0.28,4.8,54.2,1.19,1.24,0.86,0.04,0.51,0.48,0.4,0.1,-203.27,-13.24,6.47,-5.76,7.75,-0.94,-0.18,171.87,203.35
2004,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,60.25,1.14,0.93,0.72,0,0.62,0.54,0.52,0.17,-324.35,-11.87,5.84,-8.39,6.72,-3.89,-1.86,171.87,203.35
