"","id","year","month","day","date","gf.top","gf.side","hf.top","hf.side","id","year","month","day","date","gf.top.m","gf.side.m","hf.top.m","hf.side.m","pred"
"1",1,2015,8,18,"2015-08-18",0,0,NA,NA,1,2015,8,18,"2015-08-18",0,0,NA,NA,212.826401072605
"2",2,2015,8,19,"2015-08-19",0,0,NA,NA,2,2015,8,19,"2015-08-19",0,0,NA,NA,212.826401072605
"3",3,2015,8,20,"2015-08-20",0,0,NA,NA,3,2015,8,20,"2015-08-20",0,0,NA,NA,212.826401072605
"4",4,2015,8,21,"2015-08-21",0,0,0,0,4,2015,8,21,"2015-08-21",0,0,0,0,212.826401072605
"5",5,2015,8,22,"2015-08-22",0,0,0,0,5,2015,8,22,"2015-08-22",0,0,0,0,212.826401072605
"6",6,2015,8,23,"2015-08-23",0,0,0,0,6,2015,8,23,"2015-08-23",0,0,0,0,212.826401072605
"7",7,2015,8,24,"2015-08-24",0,0,0,0,7,2015,8,24,"2015-08-24",0,0,0,0,212.826401072605
"8",8,2015,8,25,"2015-08-25",0,0,0,0,8,2015,8,25,"2015-08-25",0,0,0,0,212.826401072605
"9",9,2015,8,26,"2015-08-26",0,0,0,0,9,2015,8,26,"2015-08-26",0,0,0,0,212.826401072605
"10",10,2015,8,27,"2015-08-27",0,0,0,0,10,2015,8,27,"2015-08-27",0,0,0,0,212.826401072605
"11",11,2015,8,28,"2015-08-28",0,0,0,0,11,2015,8,28,"2015-08-28",0,0,0,0,212.826401072605
"12",12,2015,8,29,"2015-08-29",0,0,0,0,12,2015,8,29,"2015-08-29",0,0,0,0,212.826401072605
"13",13,2015,8,30,"2015-08-30",0,0,0,0,13,2015,8,30,"2015-08-30",0,0,0,0,212.826401072605
"14",14,2015,8,31,"2015-08-31",0,0,0,0,14,2015,8,31,"2015-08-31",0,0,0,0,212.826401072605
"15",15,2015,9,1,"2015-09-01",10,10,0,0,15,2015,9,1,"2015-09-01",10,10,0,0,151.29186456538
"16",16,2015,9,2,"2015-09-02",10,10,0,0,16,2015,9,2,"2015-09-02",10,10,0,0,151.29186456538
"17",17,2015,9,3,"2015-09-03",0,0,0,0,17,2015,9,3,"2015-09-03",0,0,0,0,212.826401072605
"18",18,2015,9,4,"2015-09-04",0,0,0,0,18,2015,9,4,"2015-09-04",0,0,0,0,212.826401072605
"19",19,2015,9,5,"2015-09-05",0,0,0,0,19,2015,9,5,"2015-09-05",0,0,0,0,212.826401072605
"20",20,2015,9,6,"2015-09-06",0,0,0,0,20,2015,9,6,"2015-09-06",0,0,0,0,212.826401072605
"21",21,2015,9,7,"2015-09-07",0,0,0,0,21,2015,9,7,"2015-09-07",0,0,0,0,212.826401072605
"22",22,2015,9,8,"2015-09-08",0,0,0,0,22,2015,9,8,"2015-09-08",0,0,0,0,212.826401072605
"23",23,2015,9,9,"2015-09-09",0,0,0,0,23,2015,9,9,"2015-09-09",0,0,0,0,212.826401072605
"24",24,2015,9,10,"2015-09-10",0,0,0,0,24,2015,9,10,"2015-09-10",0,0,0,0,212.826401072605
"25",25,2015,9,11,"2015-09-11",0,0,0,0,25,2015,9,11,"2015-09-11",0,0,0,0,212.826401072605
"26",26,2015,9,12,"2015-09-12",0,0,0,0,26,2015,9,12,"2015-09-12",0,0,0,0,212.826401072605
"27",27,2015,9,13,"2015-09-13",0,0,0,0,27,2015,9,13,"2015-09-13",0,0,0,0,212.826401072605
"28",28,2015,9,14,"2015-09-14",0,5,0,0,28,2015,9,14,"2015-09-14",0,5,0,0,208.019015407978
"29",29,2015,9,15,"2015-09-15",5,10,0,0,29,2015,9,15,"2015-09-15",5,10,0,0,177.251747154366
"30",30,2015,9,16,"2015-09-16",5,10,0,0,30,2015,9,16,"2015-09-16",5,10,0,0,177.251747154366
"31",31,2015,9,17,"2015-09-17",10,23,0,0,31,2015,9,17,"2015-09-17",10,23,0,0,138.79266183735
"32",32,2015,9,18,"2015-09-18",10,23,0,0,32,2015,9,18,"2015-09-18",10,23,0,0,138.79266183735
"33",33,2015,9,19,"2015-09-19",15,38,5,5,33,2015,9,19,"2015-09-19",15,38,5,5,98.410622254483
"34",34,2015,9,20,"2015-09-20",18,41,5,5,34,2015,9,20,"2015-09-20",18,41,5,5,79.9502613023154
"35",35,2015,9,21,"2015-09-21",17,40,5,5,35,2015,9,21,"2015-09-21",17,40,5,5,86.1037149530379
"36",36,2015,9,22,"2015-09-22",17,40,5,5,36,2015,9,22,"2015-09-22",17,40,5,5,86.1037149530379
"37",37,2015,9,23,"2015-09-23",15,38,5,5,37,2015,9,23,"2015-09-23",15,38,5,5,98.410622254483
"38",38,2015,9,24,"2015-09-24",17,40,5,5,38,2015,9,24,"2015-09-24",17,40,5,5,86.1037149530379
"39",39,2015,9,25,"2015-09-25",16,39,5,5,39,2015,9,25,"2015-09-25",16,39,5,5,92.2571686037604
"40",40,2015,9,26,"2015-09-26",16,39,5,5,40,2015,9,26,"2015-09-26",16,39,5,5,92.2571686037604
"41",41,2015,9,27,"2015-09-27",15,38,5,5,41,2015,9,27,"2015-09-27",15,38,5,5,98.410622254483
"42",42,2015,9,28,"2015-09-28",15,38,5,5,42,2015,9,28,"2015-09-28",15,38,5,5,98.410622254483
"43",43,2015,9,29,"2015-09-29",5,28,5,5,43,2015,9,29,"2015-09-29",5,28,5,5,159.945158761709
"44",44,2015,9,30,"2015-09-30",5,28,5,5,44,2015,9,30,"2015-09-30",5,28,5,5,159.945158761709
"45",45,2015,10,1,"2015-10-01",5,28,20,20,45,2015,10,1,"2015-10-01",5,28,20,20,159.945158761709
"46",46,2015,10,2,"2015-10-02",8,31,5,10,46,2015,10,2,"2015-10-02",8,31,5,10,141.484797809541
"47",47,2015,10,3,"2015-10-03",8,31,5,5,47,2015,10,3,"2015-10-03",8,31,5,5,141.484797809541
"48",48,2015,10,4,"2015-10-04",10,33,10,5,48,2015,10,4,"2015-10-04",10,33,10,5,129.177890508096
"49",49,2015,10,5,"2015-10-05",10,33,5,5,49,2015,10,5,"2015-10-05",10,33,5,5,129.177890508096
"50",50,2015,10,6,"2015-10-06",10,33,5,5,50,2015,10,6,"2015-10-06",10,33,5,5,129.177890508096
"51",51,2015,10,7,"2015-10-07",9,32,5,5,51,2015,10,7,"2015-10-07",9,32,5,5,135.331344158818
"52",52,2015,10,8,"2015-10-08",8,31,5,5,52,2015,10,8,"2015-10-08",8,31,5,5,141.484797809541
"53",53,2015,10,9,"2015-10-09",10,38,10,10,53,2015,10,9,"2015-10-09",10,38,10,10,124.370504843469
"54",54,2015,10,10,"2015-10-10",10,38,20,30,54,2015,10,10,"2015-10-10",10,38,20,30,124.370504843469
"55",55,2015,10,11,"2015-10-11",10,38,20,30,55,2015,10,11,"2015-10-11",10,38,20,30,124.370504843469
"56",56,2015,10,12,"2015-10-12",11,39,20,30,56,2015,10,12,"2015-10-12",11,39,20,30,118.217051192746
"57",57,2015,10,13,"2015-10-13",12,40,20,30,57,2015,10,13,"2015-10-13",12,40,20,30,112.063597542024
"58",58,2015,10,14,"2015-10-14",16,45,20,30,58,2015,10,14,"2015-10-14",16,45,20,30,86.488305806208
"59",59,2015,10,15,"2015-10-15",15,44,15,25,59,2015,10,15,"2015-10-15",15,44,15,25,92.6417594569306
"60",60,2015,10,16,"2015-10-16",17,45,20,30,60,2015,10,16,"2015-10-16",17,45,20,30,81.2963292884109
"61",61,2015,10,17,"2015-10-17",15,43,20,30,61,2015,10,17,"2015-10-17",15,43,20,30,93.603236589856
"62",62,2015,10,18,"2015-10-18",8,36,15,20,62,2015,10,18,"2015-10-18",8,36,15,20,136.677412144914
"63",63,2015,10,19,"2015-10-19",NA,NA,20,20,63,2015,10,19,"2015-10-19",15.8412959912136,32.7314784099365,20,20,99.1081962567548
"64",64,2015,10,20,"2015-10-20",NA,NA,20,20,64,2015,10,20,"2015-10-20",15.8412959912136,32.7314784099365,20,20,99.1081962567548
"65",65,2015,10,21,"2015-10-21",NA,NA,20,20,65,2015,10,21,"2015-10-21",15.8412959912136,32.7314784099365,20,20,99.1081962567548
"66",66,2015,10,22,"2015-10-22",NA,NA,20,20,66,2015,10,22,"2015-10-22",15.8412959912136,32.7314784099365,20,20,99.1081962567548
"67",67,2015,10,23,"2015-10-23",NA,NA,20,20,67,2015,10,23,"2015-10-23",15.8412959912136,32.7314784099365,20,20,99.1081962567548
"68",68,2015,10,24,"2015-10-24",17,43,20,30,68,2015,10,24,"2015-10-24",17,43,20,30,83.2192835542617
"69",69,2015,10,25,"2015-10-25",17,43,20,30,69,2015,10,25,"2015-10-25",17,43,20,30,83.2192835542617
"70",70,2015,10,26,"2015-10-26",17,43,20,30,70,2015,10,26,"2015-10-26",17,43,20,30,83.2192835542617
"71",71,2015,10,27,"2015-10-27",17,43,20,30,71,2015,10,27,"2015-10-27",17,43,20,30,83.2192835542617
