ID,Ring Count,Last Year,First Year,Species,Elevation,elev.bin,elev.bin2,latitude,longitude,Ht (tot),Ht (Live),Ht (dead),DRC (cm),DBH (cm),Apex #,Apex Length,Needles (HiMeLo),Sex (1) Ramet (2),Circ (cm),Crown D 1 (cm) ,Crown D 2(cm) 
1467,NA,2014,NA,Pb,1250.887817,1250,1200,63.32592596,-129.761699,260,NA,NA,8.6,3,NA,NA,NA,NA,NA,NA,NA
1473,30,2014,1984,Pb,1253.196045,1250,1200,63.32153703,-129.764737,290,NA,NA,9,4.4,NA,NA,NA,NA,NA,NA,NA
1468,34,2014,1980,Pb,1251.459717,1250,1200,63.32576503,-129.762476,300,NA,NA,10.4,4.1,NA,NA,NA,NA,NA,NA,NA
1472,24,2014,1990,Pb,1248.270142,1250,1200,63.32301401,-129.763822,300,NA,NA,9.5,8.4,NA,NA,NA,NA,NA,NA,NA
1469,37,2014,1977,Pb,1246.944092,1250,1200,63.32353402,-129.763111,350,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA
1471,30,2014,1984,Pb,1247.398438,1250,1200,63.323516,-129.763733,350,NA,NA,12,9,NA,NA,NA,NA,NA,NA,NA
1470,55,2014,1959,Pb,1248.035034,1250,1200,63.32356201,-129.763473,370,NA,NA,11,6.5,NA,NA,NA,NA,NA,NA,NA
1093,51,2012,1961,Pg,1254.636719,1250,1200,63.32268912,-129.7640392,124,124,109,NA,NA,1,8,2,1,21.5,121,87
1066,NA,2012,NA,Al,1264.490234,1260,1200,63.31967968,-129.7649596,53.5,53.5,0,NA,NA,1,7,1,1,7.5,54,52
1092,41,2012,1971,Al,1264.490234,1260,1200,63.31984825,-129.7648155,92,92,68,NA,NA,1,5,2,1,12,118,95
1501,29,2015,1986,Pb,1262.427734,1260,1200,63.29762204,-129.826547,252,NA,NA,4.6,15.5,NA,NA,NA,NA,NA,NA,NA
1474,43,2014,1971,Pb,1261.185303,1260,1200,63.31743602,-129.768153,300,NA,NA,9,7.8,NA,NA,NA,NA,NA,NA,NA
1464,26,2014,1988,Pb,1256.895508,1260,1200,63.32610701,-129.762021,380,NA,NA,4.2,3.3,NA,NA,NA,NA,NA,NA,NA
1475,43,2014,1971,Pb,1261.506714,1260,1200,63.31735597,-129.76835,380,NA,NA,10.9,8.9,NA,NA,NA,NA,NA,NA,NA
1463,20,2014,1994,Pb,1258.914917,1260,1200,63.32629996,-129.76173,390,NA,NA,6.9,4.7,NA,NA,NA,NA,NA,NA,NA
1466,27,2014,1987,Pb,1258.293457,1260,1200,63.32609704,-129.762049,400,NA,NA,7.4,5.1,NA,NA,NA,NA,NA,NA,NA
1465,31,2014,1983,Pb,1257.260498,1260,1200,63.32610299,-129.76206,480,NA,NA,10.4,3.2,NA,NA,NA,NA,NA,NA,NA
1059,NA,2012,NA,Pg,1255.598145,1260,1200,63.30895571,-129.7842277,36,36,0,NA,NA,1,2.5,1,1,15,64,55
1089,NA,2012,NA,Pg,1259.683594,1260,1200,63.30959835,-129.7834842,55,55,40,NA,NA,1,6,2,1,10.5,49,45
1031,NA,2012,NA,Pg,1261.365967,1260,1200,63.30674306,-129.7893194,69,69,63,NA,NA,1,4,3,1,20.5,74,70
1056,NA,2012,NA,Pg,1260.164307,1260,1200,63.3068547,-129.7886329,70.5,70.5,0,NA,NA,1,12,1,1,6,43,39
