Site,Plot,Cage,Species,Year,Live,n
DLN,1701,C,F,15,Y,1
DLN,1701,C,S,16,N,1
DLN,1701,C,S,16,Y,1
DLN,1701,C,S,18,N,3
DLN,1702,C,F,18,N,6
DLN,1702,C,S,18,N,2
DLN,1702,C,F,14,Y,1
DLN,1702,C,F,16,N,1
DLN,1705,C,F,18,Y,1
DLN,1702,C,S,15,N,1
DLN,1702,C,S,18,Y,1
DLN,1706,C,S,18,N,3
DLN,1706,C,F,18,N,4
DLN,1706,C,S,18,Y,2
DLN,1703,C,NA,NA,NA,1
DLN,1703,U,NA,NA,NA,1
DLN,1704,C,NA,NA,NA,1
DLN,1704,U,NA,NA,NA,1
DLN,1705,C,F,14,Y,1
DLN,1705,C,F,15,Y,1
DLN,1709,C,F,18,N,5
DLN,1705,U,F,15,N,1
DLN,1709,C,F,18,Y,1
DLN,1706,C,F,16,N,1
DLN,1713,C,F,18,N,2
DLN,1706,C,S,16,N,1
DLN,1706,C,S,16,Y,1
DLN,1709,C,S,18,N,2
DLN,1710,C,S,18,N,2
DLN,1706,U,F,16,Y,1
DLN,1714,C,F,18,N,8
DLN,1706,U,S,16,N,2
DLN,1713,C,S,18,N,2
DLN,1714,C,S,18,N,2
DLN,1707,C,NA,NA,NA,1
DLN,1707,U,NA,NA,NA,1
DLN,1708,C,NA,NA,NA,1
DLN,1708,U,NA,NA,NA,1
DLN,1709,C,F,15,Y,1
DLN,1717,C,F,18,N,1
DLN,1718,C,F,18,N,7
DLN,1714,C,S,18,Y,2
DLN,1709,U,F,17,N,1
DLN,1709,U,S,16,Y,1
DLN,1710,C,F,14,Y,5
DLN,1710,C,F,15,Y,1
DLN,1710,C,F,16,Y,3
DLN,1710,C,F,17,N,1
DLN,1710,C,S,14,Y,1
DLN,1710,C,S,15,N,2
DLN,1710,C,S,15,Y,4
DLN,1710,C,S,16,N,1
DLN,1710,C,S,16,Y,1
DLN,1718,C,S,18,N,4
DLN,1710,U,F,14,N,1
DLN,1710,U,F,16,N,3
DLN,1701,U,F,18,N,1
DLN,1710,U,S,15,Y,2
DLN,1710,U,S,16,N,1
DLN,1701,U,S,18,N,2
DLN,1702,U,S,18,N,1
DLN,1711,C,NA,NA,NA,1
DLN,1711,U,NA,NA,NA,1
DLN,1712,C,NA,NA,NA,1
DLN,1712,U,NA,NA,NA,1
DLN,1713,C,F,14,Y,1
DLN,1713,C,F,16,N,1
DLN,1713,C,F,16,Y,1
DLN,1702,U,F,18,N,5
DLN,1713,C,S,16,N,2
DLN,1706,U,S,18,N,2
DLN,1706,U,S,18,Y,1
DLN,1714,C,F,14,Y,2
DLN,1714,C,F,15,Y,2
DLN,1714,C,F,16,N,2
DLN,1714,C,F,16,Y,2
DLN,1705,U,F,18,N,3
DLN,1714,C,S,15,N,2
DLN,1714,C,S,15,Y,2
DLN,1714,C,S,16,N,2
DLN,1714,C,S,16,Y,5
DLN,1710,U,S,18,N,1
DLN,1710,U,S,18,Y,1
DLN,1714,U,F,14,N,2
DLN,1714,U,F,16,N,1
DLN,1714,U,F,16,Y,1
DLN,1706,U,F,18,N,5
DLN,1714,U,S,15,Y,1
DLN,1714,U,S,16,Y,3
DLN,1713,U,S,18,N,1
DLN,1714,U,S,18,N,1
DLN,1715,C,NA,NA,NA,1
DLN,1715,U,NA,NA,NA,1
DLN,1716,C,NA,NA,NA,1
DLN,1716,U,NA,NA,NA,1
DLN,1717,C,F,16,Y,1
DLN,1717,C,F,17,N,1
DLN,1710,U,F,18,N,3
DLN,1717,C,S,16,N,1
DLN,1717,C,S,16,Y,1
DLN,1717,U,F,14,N,1
DLN,1717,U,F,14,Y,1
DLN,1717,U,F,15,N,1
DLN,1714,U,F,18,N,5
DLN,1717,U,F,18,N,2
DLN,1717,U,S,15,N,1
DLN,1718,C,F,13,N,1
DLN,1718,C,F,14,N,1
DLN,1718,C,F,14,Y,1
DLN,1718,C,F,15,Y,1
DLN,1717,U,F,18,Y,2
DLN,1718,C,S,15,N,1
DLN,1714,U,S,18,Y,2
DLN,1718,U,F,14,Y,3
DLN,1718,U,F,16,Y,2
DLN,1718,U,F,18,N,1
DLN,1718,U,S,15,Y,1
DLN,1718,U,S,17,Y,1
DLN,1719,C,NA,NA,NA,1
DLN,1719,U,NA,NA,NA,1
DLN,1720,C,NA,NA,NA,1
DLN,1720,U,NA,NA,NA,1
DLS,401,C,F,14,Y,3
DLS,401,C,F,15,N,1
DLS,401,C,F,18,N,1
DLS,401,U,F,13,Y,1
DLS,401,U,F,14,Y,4
DLS,401,U,F,15,Y,1
DLS,402,C,NA,NA,NA,1
DLS,403,C,F,18,N,3
DLS,403,C,F,18,Y,3
DLS,403,C,F,14,Y,1
DLS,403,C,F,15,Y,2
DLS,403,C,S,16,N,1
DLS,403,C,S,16,Y,6
DLS,403,C,S,15,N,2
DLS,403,C,S,15,Y,3
DLS,403,C,S,18,Y,2
DLS,404,C,NA,NA,NA,1
DLS,405,C,F,18,N,1
DLS,405,C,S,16,N,1
DLS,405,C,S,16,Y,2
DLS,406,C,F,16,Y,1
DLS,406,C,F,17,N,1
DLS,405,C,F,13,Y,1
DLS,405,C,F,14,Y,1
DLS,406,C,F,18,N,4
DLS,406,C,F,18,Y,5
DLS,406,C,S,16,N,1
DLS,405,U,F,14,Y,5
DLS,405,U,F,15,Y,1
DLS,406,C,S,16,Y,1
DLS,405,U,S,15,Y,1
DLS,406,C,S,18,N,1
DLS,406,C,F,15,Y,2
DLS,406,C,S,18,Y,2
DLS,407,C,NA,NA,NA,1
DLS,408,C,NA,NA,NA,1
DLS,409,C,F,17,N,1
DLS,406,C,S,15,N,2
DLS,406,C,S,15,Y,2
DLS,409,C,S,16,Y,2
DLS,409,C,S,18,N,1
DLS,410,C,F,16,Y,3
DLS,410,C,F,18,N,7
DLS,410,C,F,18,Y,3
DLS,410,C,S,16,N,2
DLS,410,C,S,16,Y,1
DLS,410,C,S,18,N,2
DLS,410,C,S,18,Y,6
DLS,411,C,NA,NA,NA,1
DLS,412,C,NA,NA,NA,1
DLS,413,C,F,16,N,1
DLS,413,C,F,17,Y,1
DLS,409,C,F,14,Y,1
DLS,409,C,F,15,Y,1
DLS,413,C,F,18,N,5
DLS,413,C,F,18,Y,3
DLS,413,C,S,16,Y,7
DLS,409,U,F,14,N,2
DLS,413,C,S,17,N,1
DLS,413,C,S,18,Y,2
DLS,414,C,NA,NA,NA,1
DLS,415,C,F,17,N,1
DLS,410,C,F,14,N,2
DLS,410,C,F,14,Y,2
DLS,410,C,F,15,Y,2
DLS,415,C,F,18,N,1
DLS,415,C,S,16,Y,2
DLS,415,C,S,18,N,3
DLS,410,C,S,15,N,1
DLS,410,C,S,15,Y,3
DLS,415,C,S,18,Y,1
DLS,416,C,NA,NA,NA,1
DLS,417,C,F,18,N,4
DLS,417,C,F,18,Y,2
DLS,410,U,F,13,Y,1
DLS,417,C,S,16,N,1
DLS,417,C,S,16,Y,2
DLS,417,C,S,18,N,1
DLS,418,C,F,16,Y,4
DLS,418,C,F,17,Y,2
DLS,418,C,F,18,N,8
DLS,418,C,F,18,Y,1
DLS,418,C,S,16,Y,2
DLS,418,C,S,18,N,4
DLS,418,C,S,18,Y,4
DLS,413,C,F,14,N,1
DLS,413,C,F,14,Y,1
DLS,413,C,F,15,Y,3
DLS,419,C,NA,NA,NA,1
DLS,420,C,NA,NA,NA,1
DLS,401,U,F,18,N,1
DLS,402,U,NA,NA,NA,1
DLS,413,C,S,15,Y,1
DLS,403,U,F,18,N,2
DLS,403,U,S,18,Y,1
DLS,404,U,NA,NA,NA,1
DLS,413,U,F,13,N,1
DLS,405,U,F,18,N,4
