site,sow.year,species,plot,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.6,germ.7,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,surv.prop.5,surv.prop.6,planted,viability
nalp,2016,fir,1701,no,2,seeded,1,0,20,0,0,0,NA,0,0,0,0,0.00,1.00,0.00,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1702,no,4,seeded.scarified,1,1,19,1,1,0,NA,0,0,0,0,0.05,0.95,0.08,1,0,NA,0,0,0,0,20,0.645
nalp,2016,fir,1703,no,1,control,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1704,no,3,scarified,0,1,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1705,no,2,seeded,1,0,19,1,0,0,NA,0,0,0,0,0.05,0.95,0.08,0,0,NA,0,0,0,0,20,0.645
nalp,2016,fir,1706,no,4,seeded.scarified,1,1,18,2,2,1,NA,1,0,0,0,0.11,0.90,0.16,1,0.5,NA,0.5,0,0,0,20,0.645
nalp,2016,fir,1707,no,1,control,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1708,no,3,scarified,0,1,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1709,no,2,seeded,1,0,20,0,0,0,NA,0,0,0,0,0.00,1.00,0.00,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1710,no,4,seeded.scarified,1,1,13,7,7,3,NA,0,0,0,0,0.54,0.65,0.54,1,0.428571429,NA,0,0,0,0,20,0.645
nalp,2016,fir,1711,no,1,control,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1712,no,3,scarified,0,1,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1713,no,2,seeded,1,0,19,1,1,0,NA,0,0,0,0,0.05,0.95,0.08,1,0,NA,0,0,0,0,20,0.645
nalp,2016,fir,1714,no,4,seeded.scarified,1,1,14,6,6,6,NA,1,0,0,0,0.43,0.70,0.47,1,1,NA,0.166666667,0,0,0,20,0.645
nalp,2016,fir,1715,no,1,control,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1716,no,3,scarified,0,1,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1717,no,2,seeded,1,0,19,1,0,0,NA,0,0,0,0,0.05,0.95,0.08,0,0,NA,0,0,0,0,20,0.645
nalp,2016,fir,1718,no,4,seeded.scarified,1,1,14,6,6,2,NA,2,2,2,2,0.43,0.70,0.47,1,0.333333333,NA,0.333333333,0.333333333,0.333333333,0.333333333,20,0.645
