site,date,month,year,day,time,ip10,ip20,ip30,ip40,ip50,if10,if20,if30,if40,if50,if60,if70,if80,if90,if100
gf,16-Aug-15,8,2015,16,2000,21,20.5,21,21,20.5,20.5,21,21,21,20.5,21,21,21,21,21
gf,17-Aug-15,8,2015,17,2400,17,17,17,17,16.5,16.5,16.5,17,17,16.5,16.5,16.5,17,16.5,16.5
gf,17-Aug-15,8,2015,17,400,15,14.5,15,15,14.5,14.5,14.5,15,15,14.5,14.5,14.5,14.5,14.5,14.5
gf,17-Aug-15,8,2015,17,800,16.5,16.5,16.5,17,17,16,16.5,17,17,16.5,16.5,17,17,17,17.5
gf,17-Aug-15,8,2015,17,1200,11,11.5,11.5,11.5,11.5,18,18,17.5,17,16,16,16.5,16,16,15.5
gf,17-Aug-15,8,2015,17,1600,18,18.5,19,19.5,18,20.5,22.5,23.5,23,21.5,20.5,19.5,19,20,20.5
gf,17-Aug-15,8,2015,17,2000,8,8,8,8,8,8,8.5,8.5,8,8,8,8,8,8,8
gf,18-Aug-15,8,2015,18,2400,4,4,4.5,4.5,4,3,4,4,4,4,4,4,4,4,4
gf,18-Aug-15,8,2015,18,400,4.5,4.5,4.5,4.5,4.5,4,4.5,5,4.5,4.5,4,4.5,4.5,4.5,4.5
gf,18-Aug-15,8,2015,18,800,5.5,5.5,5.5,5.5,5,5.5,5.5,5.5,5.5,5,5,5,5,5,5
gf,18-Aug-15,8,2015,18,1200,9,8.5,8.5,8,8,9,8.5,8.5,8.5,8,8,8,8,8,8
gf,18-Aug-15,8,2015,18,1600,8,8,8,8,7.5,8.5,8.5,8.5,8,8,7.5,8,8,7.5,7.5
gf,18-Aug-15,8,2015,18,2000,8,7.5,7,7.5,7,7.5,7.5,7.5,7,7,7,7,7,7,7
gf,19-Aug-15,8,2015,19,2400,5,5,5,5,4.5,4.5,5,5,5,4.5,4.5,4.5,5,4.5,4.5
gf,19-Aug-15,8,2015,19,400,3,3,3,3,3,2.5,3,3,3,3,2.5,3,3,3,3
gf,19-Aug-15,8,2015,19,800,3.5,3.5,3.5,3.5,3,3,3.5,3.5,3.5,3,3,3,3,3,3
gf,19-Aug-15,8,2015,19,1200,6.5,6.5,6,6.5,6,6.5,6.5,6.5,6.5,6,6,6,6,6,6
gf,19-Aug-15,8,2015,19,1600,9.5,9.5,9.5,10,9.5,11.5,11,11,10.5,10,10,10,10,10,9.5
