id,year,month,day,date,gf.top,gf.side,hf.top,hf.side,gf.top.ibuttons,gf.side.ibuttons,hf.top.ibuttons,hf.side.ibuttons
1,2015,8,18,2015-08-18,0,0,0,0,0,0,0,0
2,2015,8,19,2015-08-19,0,0,0,0,0,0,0,0
3,2015,8,20,2015-08-20,0,0,0,0,0,0,0,0
4,2015,8,21,2015-08-21,0,0,0,0,0,0,0,0
5,2015,8,22,2015-08-22,0,0,0,0,0,0,0,0
6,2015,8,23,2015-08-23,0,0,0,0,0,0,0,0
7,2015,8,24,2015-08-24,0,0,0,0,0,0,0,0
8,2015,8,25,2015-08-25,0,0,0,0,0,0,0,0
9,2015,8,26,2015-08-26,0,0,0,0,0,0,0,0
10,2015,8,27,2015-08-27,0,0,0,0,0,0,0,0
11,2015,8,28,2015-08-28,0,0,0,0,0,0,0,0
12,2015,8,29,2015-08-29,0,0,0,0,0,0,0,0
13,2015,8,30,2015-08-30,0,0,0,0,0,0,0,0
14,2015,8,31,2015-08-31,0,0,0,0,0,0,0,0
15,2015,9,1,2015-09-01,10,10,0,0,0,0,0,0
16,2015,9,2,2015-09-02,10,10,0,0,0,0,0,0
17,2015,9,3,2015-09-03,0,0,0,0,0,0,0,0
18,2015,9,4,2015-09-04,0,0,0,0,0,0,0,0
19,2015,9,5,2015-09-05,0,0,0,0,0,0,0,0
20,2015,9,6,2015-09-06,0,0,0,0,0,0,0,0
21,2015,9,7,2015-09-07,0,0,0,0,0,0,0,0
22,2015,9,8,2015-09-08,0,0,0,0,0,0,0,0
23,2015,9,9,2015-09-09,0,0,0,0,0,0,0,0
24,2015,9,10,2015-09-10,0,0,0,0,0,0,0,0
25,2015,9,11,2015-09-11,0,0,0,0,0,0,0,0
26,2015,9,12,2015-09-12,0,0,0,0,0,0,0,0
27,2015,9,13,2015-09-13,0,0,0,0,0,0,0,0
28,2015,9,14,2015-09-14,0,5,0,0,0,0,0,0
29,2015,9,15,2015-09-15,5,10,0,0,0,0,0,0
30,2015,9,16,2015-09-16,5,10,0,0,0,0,0,0
31,2015,9,17,2015-09-17,10,23,0,0,0,0,0,0
32,2015,9,18,2015-09-18,10,23,0,0,0,0,0,0
33,2015,9,19,2015-09-19,15,38,5,5,0,100,0,0
34,2015,9,20,2015-09-20,18,41,5,5,0,100,0,0
35,2015,9,21,2015-09-21,17,40,5,5,0,100,0,0
36,2015,9,22,2015-09-22,17,40,5,5,0,100,0,0
37,2015,9,23,2015-09-23,15,38,5,5,0,100,0,0
38,2015,9,24,2015-09-24,17,40,5,5,0,100,0,0
39,2015,9,25,2015-09-25,16,39,5,5,0,100,0,0
40,2015,9,26,2015-09-26,16,39,5,5,0,100,0,0
41,2015,9,27,2015-09-27,15,38,5,5,0,70,0,0
42,2015,9,28,2015-09-28,15,38,5,5,0,80,0,0
43,2015,9,29,2015-09-29,5,28,5,5,0,100,0,0
44,2015,9,30,2015-09-30,5,28,5,5,0,60,0,0
45,2015,10,1,2015-10-01,5,28,20,20,0,80,0,0
46,2015,10,2,2015-10-02,8,31,5,10,0,0,0,0
47,2015,10,3,2015-10-03,8,31,5,5,0,0,0,0
48,2015,10,4,2015-10-04,10,33,10,5,0,0,0,0
49,2015,10,5,2015-10-05,10,33,5,5,0,70,0,0
50,2015,10,6,2015-10-06,10,33,5,5,0,80,0,0
51,2015,10,7,2015-10-07,9,32,5,5,0,0,0,0
