"site","datetime","ip10_1","ip10_2","ip20_1","ip20_2","ip30_1","ip30_2","ip40_1","ip40_2","ip50_1","ip50_2","if10_1","if10_2","if20_1","if20_2","if30_1","if30_2","if40_1","if40_2","if50_1","if50_2","if60_1","if60_2","if70_1","if70_2","if80_1","if80_2","if90_1","if90_2","if100_1","if100_2","p10_diff","p20_diff","p30_diff","f10_diff","f20_diff","f30_diff","f40_diff","f50_diff","f60_diff","f70_diff","f80_diff","f90_diff","f100_diff","p10_snow","p20_snow","p30_snow","f10_snow","f20_snow","f30_snow","f40_snow","f50_snow","f60_snow","f70_snow","f80_snow","f90_snow","f100_snow","depth_p","depth_f"
"gf",2015-08-16,21,21,20.5,20.5,21,21,21,21,20.5,20.5,20.5,20.5,21,21,21,21,21,21,20.5,20.5,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,10,20,30,40,50,60,70,80,90,100,30,100
"gf",2015-08-17,8,18,8,18.5,8,19,8,19.5,8,18,8,20.5,8.5,22.5,8.5,23.5,8,23,8,21.5,8,20.5,8,19.5,8,19,8,20,8,20.5,10,10.5,11,12.5,14,15,15,13.5,12.5,11.5,11,12,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-18,4,9,4,8.5,4.5,8.5,4.5,8,4,8,3,9,4,8.5,4,8.5,4,8.5,4,8,4,8,4,8,4,8,4,8,4,8,5,4.5,4,6,4.5,4.5,4.5,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-19,3,9.5,3,9.5,3,9.5,3,10,3,9.5,2.5,11.5,3,11,3,11,3,10.5,3,10,2.5,10,3,10,3,10,3,10,3,9.5,6.5,6.5,6.5,9,8,8,7.5,7,7.5,7,7,7,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-20,-1,10.5,-0.5,10,-0.5,9.5,-0.5,9.5,-0.5,9,-1.5,12,-1,11,-0.5,10.5,-1,10,-1,9.5,-1,9.5,-1,9.5,-0.5,9.5,-1,9.5,-0.5,9.5,11.5,10.5,10,13.5,12,11,11,10.5,10.5,10.5,10,10.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-21,0.5,10,0.5,10,0.5,10,1,10,0.5,9.5,0.5,12,0.5,11.5,1,11,0.5,10.5,0.5,10.5,0.5,10,0.5,10,0.5,10,0.5,10,0.5,10,9.5,9.5,9.5,11.5,11,10,10,10,9.5,9.5,9.5,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-22,1.5,11,1.5,11,2,10.5,2,10.5,2,10.5,0.5,12.5,1.5,11.5,1.5,11,1.5,10.5,1.5,10,1.5,10,1.5,10,1.5,10,1.5,10,2,10,9.5,9.5,8.5,12,10,9.5,9,8.5,8.5,8.5,8.5,8.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-23,2,12,2,12,2,12,2,12,1.5,11.5,1,15.5,1.5,14.5,2,13.5,1.5,13,1.5,12.5,1.5,12,1.5,12,1.5,12,1.5,12,1.5,11.5,10,10,10,14.5,13,11.5,11.5,11,10.5,10.5,10.5,10.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-24,-1,9.5,-1,9.5,-1,9,-0.5,9,-1,8.5,-2,10,-1.5,10,-1,10,-1.5,9.5,-1.5,9,-1.5,9,-1,9,-1,9,-1,9,-1,9,10.5,10.5,10,12,11.5,11,11,10.5,10.5,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-25,0,11,0,10.5,0.5,9.5,0.5,9.5,0.5,9,-0.5,11,0,13,0,13.5,0,13,0,12.5,-0.5,12,0,12.5,0,12,0,12,0.5,12.5,11,10.5,9,11.5,13,13.5,13,12.5,12.5,12.5,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-26,-0.5,9,-0.5,8.5,-0.5,8,0,7.5,0,7.5,-1.5,9,-1,8.5,-0.5,8.5,-0.5,8,-1,7.5,-1,7.5,-0.5,7.5,0,7.5,0,7,0,7,9.5,9,8.5,10.5,9.5,9,8.5,8.5,8.5,8,7.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-27,3.5,14,3,13,3,12.5,3.5,12,3,11.5,3,14.5,3.5,14,3.5,13.5,3.5,13,3,12.5,3,12,3,12,3,12,3,11.5,3,11.5,10.5,10,9.5,11.5,10.5,10,9.5,9.5,9,9,9,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-28,2.5,6.5,2.5,7,2.5,6.5,3,7,2.5,6.5,2,8.5,2.5,8,2.5,7.5,2.5,7.5,2.5,7,2,7,2.5,6.5,2.5,7,2.5,6.5,2.5,6.5,4,4.5,4,6.5,5.5,5,5,4.5,5,4,4.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-29,2,5.5,2,6,2,6,2.5,6,2,6,2,6,2.5,6,2.5,6.5,2,6,2,6,2,5.5,2,6,2,6,2,6,2,6,3.5,4,4,4,3.5,4,4,4,3.5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gf",2015-08-30,2.5,5.5,2.5,5,3,4.5,3,4.5,2.5,4.5,2.5,5.5,3,5.5,3,5.5,3,5,2.5,4.5,2.5,4.5,3,4.5,3,4.5,2.5,4.5,3,4.5,3,2.5,1.5,3,2.5,2.5,2,2,2,1.5,1.5,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
