year,site,min,mean,max,sd,se,n
1990,D2,38,48,59.5,4.18,0.56,56
1991,D2,39,50.5,63,5.58,0.75,56
1992,D2,39,49.4,62,4.68,0.63,55
1993,D2,31,44.5,58,5.2,0.7,56
1994,D2,24,49,60,5.63,0.76,55
1995,D2,40,50.2,60,4.72,0.63,56
1996,D2,26,39,49,5.74,0.79,53
1997,D2,12,49.9,63,7.88,1.04,57
1998,D2,46,56.9,95,8.96,1.2,56
1999,D2,40,50.4,88,8.4,1.13,55
2000,D2,35,52.7,199,23.17,3.12,55
2001,D2,40,52.2,152,17.64,2.47,51
2002,D2,36,55.3,164,28.59,4.04,50
2003,D2,35,54.7,170,25.61,3.7,48
2004,D2,40,55,152,24.15,3.45,49
2005,D2,45,61.5,173,27.12,3.8,51
2006,D2,45,55,93,8.76,1.27,48
2007,D2,47,59.3,176,19.42,2.9,45
2008,D2,40,63.7,140,30.49,4.19,53
2009,D2,31,63.8,176,36.5,5.11,51
2010,D2,38,71.8,182,37.12,5.15,52
2011,D2,38,65.6,115,21.47,3.2,45
2012,D2,44,64.8,142,20.77,3.17,43
2013,D2,42,67.4,155,28.11,4.39,41
2014,D2,38,71.7,170,30.29,4.57,44
2015,D2,51,81.5,195,36.59,5.28,48
2016,D2,49,78.7,168,29.27,4.27,47
2017,D2,42,71.2,141,25.62,4.05,40
2018,D2,46,76.6,153,29.74,4.76,39
2019,D2,40,83.7,197,41.88,6.05,48
2020,D2,NA,NA,NA,NA,NA,NA
2021,D2,40,75.53,170,35.88,6.06,35
2022,D2,37,74.14,170,35.81,6.05,35
2023,D2,46,83.76923077,160,33.61035362,5.381963874,39
1990,D6,43,88.1,210,40.89,6.03,46
1991,D6,49,98.1,300,55.79,8.14,47
1992,D6,53,91.9,178.5,37.5,5.79,42
1993,D6,42,66.4,120,18.76,3.37,31
1994,D6,53,92.5,220,41.91,7.3,33
1995,D6,52,83,185,32.93,5.41,37
1996,D6,35,55.4,88,12.8,2.56,25
1997,D6,37,81.7,186,34.68,5.55,39
1998,D6,37,88.7,182,34.78,6.25,31
1999,D6,27,65.7,151,29.85,5.05,35
2000,D6,30,76.5,154,31.65,5.35,35
2001,D6,38,81,165,35.55,6.28,32
2002,D6,29,68.2,175,33.09,5.59,35
2003,D6,46,87.5,182,39.26,6.83,33
2004,D6,43,89.4,178,45.11,8.1,31
2005,D6,49,89.5,171,40.91,7.23,32
2006,D6,33,77.9,179,31.78,6.49,24
2007,D6,52,90.1,186,40.41,7.38,30
2008,D6,43,92.6,190,46.17,8.43,30
2009,D6,32,85.1,194,50.57,9.23,30
2010,D6,48,97.2,195,46.83,8.55,30
2011,D6,50,93.2,195,41.08,8.22,25
2012,D6,45,94.7,195,49.62,11.39,19
2013,D6,40,76.5,183,34.79,6.96,25
2014,D6,45,88.5,190,45.06,9.2,24
2015,D6,48,95.8,198,43.91,8.96,24
2016,D6,49,97.3,200,45.29,9.24,24
2017,D6,40,73.7,148,28.23,5.89,23
2018,D6,45,87.8,175,35.42,7.23,24
2019,D6,44,88.7,180,41.14,8.77,22
